分数,本段人数,累计人数
655,51,51
654,2,53
653,3,56
652,1,57
651,2,59
650,3,62
649,6,68
648,4,72
647,8,80
646,11,91
645,16,107
644,12,119
643,12,131
642,15,146
641,9,155
640,25,180
639,14,194
638,20,214
637,22,236
636,23,259
635,19,278
634,25,303
633,22,325
632,18,343
631,26,369
630,31,400
629,28,428
628,34,462
627,31,493
626,36,529
625,41,570
624,34,604
623,41,645
622,34,679
621,42,721
620,46,767
619,44,811
618,51,862
617,59,921
616,63,984
615,62,1046
614,48,1094
613,43,1137
612,62,1199
611,65,1264
610,69,1333
609,74,1407
608,78,1485
607,68,1553
606,97,1650
605,81,1731
604,88,1819
603,95,1914
602,106,2020
601,92,2112
600,103,2215
599,87,2302
598,87,2389
597,107,2496
596,95,2591
595,113,2704
594,112,2816
593,99,2915
592,138,3053
591,112,3165
590,121,3286
589,139,3425
588,145,3570
587,135,3705
586,151,3856
585,126,3982
584,170,4152
583,133,4285
582,158,4443
581,148,4591
580,144,4735
579,158,4893
578,164,5057
577,152,5209
576,157,5366
575,172,5538
574,183,5721
573,192,5913
572,154,6067
571,167,6234
570,190,6424
569,180,6604
568,201,6805
567,221,7026
566,217,7243
565,202,7445
564,199,7644
563,218,7862
562,230,8092
561,203,8295
560,229,8524
559,218,8742
558,221,8963
557,222,9185
556,216,9401
555,244,9645
554,247,9892
553,252,10144
552,266,10410
551,243,10653
550,251,10904
549,276,11180
548,224,11404
547,267,11671
546,274,11945
545,287,12232
544,297,12529
543,275,12804
542,296,13100
541,303,13403
540,283,13686
539,317,14003
538,314,14317
537,316,14633
536,320,14953
535,322,15275
534,318,15593
533,318,15911
532,303,16214
531,295,16509
530,311,16820
529,297,17117
528,289,17406
527,286,17692
526,292,17984
525,305,18289
524,306,18595
523,293,18888
522,288,19176
521,290,19466
520,274,19740
519,280,20020
518,288,20308
517,295,20603
516,282,20885
515,281,21166
514,288,21454
513,288,21742
512,280,22022
511,278,22300
510,264,22564
509,269,22833
508,284,23117
507,268,23385
506,260,23645
505,286,23931
504,252,24183
503,268,24451
502,247,24698
501,245,24943
500,255,25198
499,237,25435
498,242,25677
497,239,25916
496,249,26165
495,235,26400
494,230,26630
493,249,26879
492,231,27110
491,239,27349
490,241,27590
489,222,27812
488,226,28038
487,230,28268
486,210,28478
485,224,28702
484,204,28906
483,201,29107
482,212,29319
481,194,29513
480,208,29721
479,199,29920
478,192,30112
477,192,30304
476,197,30501
475,179,30680
474,180,30860
473,176,31036
472,171,31207
471,180,31387
470,180,31567
469,187,31754
468,192,31946
467,169,32115
466,182,32297
465,189,32486
464,180,32666
463,179,32845
462,168,33013
461,167,33180
460,176,33356
459,159,33515
458,168,33683
457,159,33842
456,155,33997
455,154,34151
454,150,34301
453,142,34443
452,136,34579
451,128,34707
450,133,34840
449,131,34971
448,131,35102
447,133,35235
446,128,35363
445,115,35478
444,115,35593
443,118,35711
442,113,35824
441,122,35946
440,96,36042
439,88,36130
438,81,36211
437,77,36288
436,77,36365
435,69,36434
434,84,36518
433,66,36584
432,65,36649
431,64,36713
430,61,36774
429,61,36835
428,62,36897
427,61,36958
426,51,37009
425,45,37054
424,45,37099
423,50,37149
422,52,37201
421,42,37243
420,48,37291
419,38,37329
418,40,37369
417,35,37404
416,41,37445
415,35,37480
414,39,37519
413,43,37562
412,46,37608
411,33,37641
410,38,37679
409,34,37713
408,34,37747
407,39,37786
406,35,37821
405,30,37851
404,30,37881
403,33,37914
402,36,37950
401,28,37978
400,27,38005
399,29,38034
398,27,38061
397,26,38087
396,28,38115
395,30,38145
394,23,38168
393,28,38196
392,25,38221
391,26,38247
390,27,38274
389,28,38302
388,27,38329
387,25,38354
386,21,38375
385,20,38395
384,19,38414
383,24,38438
382,17,38455
381,21,38476
380,16,38492
379,19,38511
378,18,38529
377,19,38548
376,14,38562
375,14,38576
374,16,38592
373,10,38602
372,17,38619
371,10,38629
370,16,38645
369,17,38662
368,16,38678
367,10,38688
366,13,38701
365,12,38713
364,12,38725
363,16,38741
362,16,38757
361,8,38765
360,10,38775
359,10,38785
358,7,38792
357,9,38801
356,11,38812
355,9,38821
354,14,38835
353,9,38844
352,9,38853
351,9,38862
350,8,38870
349,8,38878
348,8,38886
347,6,38892
346,5,38897
345,5,38902
344,6,38908
343,5,38913
342,4,38917
341,7,38924
340,5,38929
339,3,38932
338,5,38937
337,5,38942
336,5,38947
335,5,38952
334,4,38956
333,6,38962
332,4,38966
331,5,38971
330,6,38977
329,4,38981
328,6,38987
327,4,38991
326,5,38996
325,5,39001
324,2,39003
323,2,39005
322,5,39010
321,4,39014
320,5,39019
319,3,39022
318,2,39024
317,2,39026
316,2,39028
315,2,39030
314,1,39031
313,2,39033
312,2,39035
311,2,39037
310,1,39038
309,2,39040
308,2,39042
307,2,39044
306,2,39046
305,1,39047
304,2,39049
303,1,39050
302,2,39052
301,2,39054
300,2,39056
299,2,39058
298,2,39060
297,1,39061
296,2,39063
295,1,39064
294,2,39066
293,2,39068
292,1,39069
291,2,39071
290,2,39073
289,1,39074
288,2,39076
287,1,39077
286,2,39079
285,2,39081
284,1,39082
283,2,39084
282,1,39085
281,2,39087
280,2,39089
279,2,39091
278,1,39092
277,2,39094
276,2,39096
275,1,39097
274,2,39099
273,1,39100
272,2,39102
271,2,39104
270,1,39105
269,1,39106
268,1,39107
267,1,39108
266,1,39109
265,1,39110
264,1,39111
263,1,39112
262,1,39113
261,1,39114
260,1,39115
259,1,39116
258,1,39117
257,1,39118
256,1,39119
255,1,39120
254,1,39121
253,1,39122
252,1,39123
251,1,39124
250,1,39125
